anos,rice_prod,beans_prod,coffee_prod,fert_rice,fert_beans,fert_coffee
2008,12061465.0,3461194.0,2796927.0,55.66666666666667,55.66666666666668,55.66666666666667
2010,11235986.0,3158905.0,2907265.0,53.333333333333336,53.33333333333334,53.33333333333333
2011,13476994.0,3435366.0,2700540.0,66.66666666666667,66.66666666666669,66.66666666666666
2012,11549881.0,2794854.0,3037534.0,61.333333333333336,61.333333333333336,61.333333333333336
2013,11782549.0,2892599.0,2964538.0,71.33333333333334,71.33333333333333,71.33333333333333
2014,12175602.0,3294586.0,2804070.0,77.33333333333334,77.33333333333331,77.33333333333333
2015,12301201.0,3088926.0,2647504.0,64.33333333333333,64.33333333333333,64.33333333333333
2017,12464766.0,3046079.0,2684508.0,76.33333333333333,76.33333333333333,76.33333333333334
2018,11808412.0,2916365.0,3552729.0,81.66666666666669,81.66666666666666,81.66666666666666
2019,10368639.0,2908075.0,3011745.0,82.00000000000001,82.0,82.00000000000001
2020,11091011.0,3036254.0,3705719.0,101.66666666666669,101.66666666666666,101.66666666666667
2021,11660605.0,2900805.0,2985581.0,106.99999999999999,107.0,107.0
2022,10776268.0,2872474.0,3179176.0,100.33333333333333,100.33333333333333,100.33333333333334