country,gas1_prod,gas2_prod,gas3_prod,fert_prod,years
Africa,562193.1199999942,124176.74285714378,455.16666666666464,4418295.333333373,2021
Americas,1193743.6153846353,171460.71428571676,628.4444444444329,13960023.333333451,2021
Asia,2978360.3461538325,280106.31428571383,1027.194444444444,34654282.999999724,2021
China,1485513.3846153733,99559.54285714206,364.7777777777766,16225756.333333386,2021
"China, mainland",1444319.5769230744,95904.00000000138,361.38888888888823,16183464.333333327,2021
Eastern Asia,1713137.6923077109,108810.65714285713,398.6944444444466,16722275.333333157,2021
Eastern Europe,297430.1153846107,42304.60000000048,154.80555555555455,13901310.666666584,2021
Europe,662687.0384615383,91585.74285714189,335.6111111111103,18279157.333333336,2021
European Union (27),371235.53846153675,52875.39999999981,193.55555555555736,5735510.000000034,2021
India,369473.9999999995,64860.13888888891,244.2499999999984,6193966.666666706,2021
Net Food Importing Developing Countries,579395.8846153882,152576.514285715,559.3055555555543,6288744.333333221,2021
Northern America,695945.3846153924,63992.48571428589,234.36111111111072,11808787.333333327,2021
Russian Federation,187300.00000000047,17166.472222222386,64.33333333333364,8809200.000000037,2021
South-eastern Asia,437204.038461542,40922.99999999968,149.61111111111117,2662365.3333333395,2021
Southern Asia,508748.11538461875,101337.6857142866,371.3611111111096,8298862.666666668,2021
United States of America,595063.7692307722,51905.72222222242,195.38888888888806,6042900.666666616,2021
Western Asia,262713.80769230955,19261.342857143096,70.27777777777786,6094305.333333314,2021
World,5282115.259259284,668362.8888888991,2453.4054054054104,71764077.66666676,2021